Sample,CellID,Counts Pre-Pool ,Pre-Percentage,Counts Post-Sample,Post-Percentage,post/pre
DMSO,T1parental#4,899,0.71349772617243,1524,10.122.613.812.984.000,14.187.310.543.072.000
DMSO,T1parental#6,9520,7.555.615.520.758.100,16562,11.000.704.066.315.000,14.559.639.828.273.400
DMSO,T1parental#9,12233,9.708.807.212.755.650,23128,15.361.929.938.759.500,1.582.267.481.691.940
DMSO,TSC2#18,8408,6.673.068.833.879.630,8261,5.487.067.763.061.750,0.822270517457206
DMSO,TSC2#19,1,0.000793657092516607,3,0.00199264051436694,25.107.071.216.971.900
DMSO,TSC2#20,13886,11.020.722.386.685.600,16477,10.944.245.918.408.000,0.993060666479542
DMSO,PTEN#15,8003,6.351.637.711.410.400,8977,5.962.644.632.490.660,0.938757042420582
DMSO,PTEN#16,6551,5.199.247.613.076.290,8507,5.650.464.285.239.840,1.086.784.993.857.320
DMSO,PTEN#17,4211,3.342.090.016.587.430,6170,40.981.973.245.480.000,12.262.378.643.926.000
DMSO,Hom#25,110,0.0873022801768268,94,0.0624360694501641,0.715171119513747
DMSO,Hom#26,2416,19.174.755.355.201.200,2095,13.915.272.925.329.100,0.725707977366947
DMSO,Hom#27,25,0.0198414273129152,36,0.0239116861724033,1.205.139.418.414.650
DMSO,V654A#29,6680,53.016.293.780.109.300,7453,4.950.383.251.192.260,0.933747513872715
DMSO,V654A#30,4274,33.920.904.134.159.700,4730,31.417.298.776.518.700,0.9261928471087
DMSO,V654A#39,2005,15.912.824.704.957.900,2172,14.426.717.324.016.600,0.90660945441834
DMSO,D816E#24,3019,23.960.507.623.076.300,3681,2.444.969.911.128.230,10.204.165.744.691.800
DMSO,D816E#34,2180,17.301.724.616.862.000,2435,1.617.359.884.161.160,0.934796917634966
DMSO,D816E#36,18389,1.459.456.027.428.780,18881,1.254.101.518.392.070,0.859293801815665
DMSO,D816A#10,4592,36.444.733.688.362.600,3138,20.843.019.780.278.100,0.571907589132245
DMSO,D816A#11,4485,3.559.552.059.936.980,3315,22.018.677.683.754.600,0.618580015490614
DMSO,D816A#13,4501,35.722.505.734.172.400,3298,2.190.576.138.794.050,0.613220179764301
DMSO,A829P#21,948,0.752386923705744,797,0.529378163316817,0.70359830379489
DMSO,A829P#22,6631,5.262.740.180.477.620,6989,4.642.188.184.970.170,0.882085762506496
DMSO,A829P#28,2032,1.612.711.211.993.740,1831,1.216.174.927.268.620,0.754118231599011
IM30,T1parental#4,899,0.71349772617243,686,0.537731338135812,0.7536552933679
IM30,T1parental#6,9520,7.555.615.520.758.100,7701,6.036.543.782.775.350,0.798947983283521
IM30,T1parental#9,12233,9.708.807.212.755.650,10610,831.680.684.784.398,0.856624986529464
IM30,TSC2#18,8408,6.673.068.833.879.630,8654,6.783.567.055.724.950,10.165.588.314.156.600
IM30,TSC2#19,1,0.000793657092516607,5,0.00391932462198114,49.383.098.304.500.100
IM30,TSC2#20,13886,11.020.722.386.685.600,17123,13.422.119.100.436.600,12.178.983.037.130.200
IM30,PTEN#15,8003,6.351.637.711.410.400,7734,60.624.113.252.804.200,0.954464281611906
IM30,PTEN#16,6551,5.199.247.613.076.290,6414,50.277.096.250.774.000,0.967007151656431
IM30,PTEN#17,4211,3.342.090.016.587.430,4533,35.532.597.022.881.000,10.631.849.186.145.700
IM30,Hom#25,110,0.0873022801768268,98,0.0768187625908304,0.87991702433473
IM30,Hom#26,2416,19.174.755.355.201.200,1876,14.705.305.981.673.200,0.766909705457304
IM30,Hom#27,25,0.0198414273129152,19,0.0148934335635283,0.750623094228403
IM30,V654A#29,6680,53.016.293.780.109.300,7473,5.857.822.580.013.010,1.104.909.861.166.250
IM30,V654A#30,4274,33.920.904.134.159.700,5189,4.067.475.092.692.020,11.991.057.421.715.000
IM30,V654A#39,2005,15.912.824.704.957.900,2409,18.883.306.028.705.100,11.866.721.577.610.000
IM30,D816E#24,3019,23.960.507.623.076.300,3488,2.734.120.856.294.040,1.141.094.712.726.700
IM30,D816E#34,2180,17.301.724.616.862.000,2622,205.529.383.176.691,11.879.126.949.944.900
IM30,D816E#36,18389,1.459.456.027.428.780,20212,15.843.477.851.896.500,10.855.741.834.037.200
IM30,D816A#10,4592,36.444.733.688.362.600,3894,30.523.700.155.989.100,0.837533905913431
IM30,D816A#11,4485,3.559.552.059.936.980,4158,3.259.310.355.639.510,0.915651829431936
