"Sample","CellID","Pre.Count","Pre.Percentage","Post.Count","Post.Percentage","post.pre"
"im-tram3_re","T1parental#4",1533,"0,82",1512,"0,91","1,12"
"im-tram3_re","T1parental#6",10903,"5,81",10565,"6,37","1,10"
"im-tram3_re","T1parental#9",12735,"6,79",11262,"6,79","1,00"
"im-tram3_re","TSC2#18",7320,"3,90",6934,"4,18","1,07"
"im-tram3_re","TSC2#19",3,"0,00",2,"0,00","0,75"
"im-tram3_re","TSC2#20",14729,"7,85",31419,"18,94","2,41"
"im-tram3_re","PTEN#15",13623,"7,26",28540,"17,20","2,37"
"im-tram3_re","PTEN#16",7845,"4,18",8170,"4,92","1,18"
"im-tram3_re","PTEN#17",6959,"3,71",17911,"10,80","2,91"
"im-tram3_re","Hom#25",3661,"1,95",1616,"0,97","0,50"
"im-tram3_re","Hom#26",4356,"2,32",2187,"1,32","0,57"
"im-tram3_re","Hom#27",873,"0,47",455,"0,27","0,59"
"im-tram3_re","V654A#29",10677,"5,69",1084,"0,65","0,11"
"im-tram3_re","V654A#30",4227,"2,25",1403,"0,85","0,38"
"im-tram3_re","V654A#39",4039,"2,15",1169,"0,70","0,33"
"im-tram3_re","D816E#24",5815,"3,10",5787,"3,49","1,13"
"im-tram3_re","D816E#34",4318,"2,30",3244,"1,96","0,85"
"im-tram3_re","D816E#36",24093,"12,84",17197,"10,37","0,81"
"im-tram3_re","D816A#10",10735,"5,72",5813,"3,50","0,61"
"im-tram3_re","D816A#11",3502,"1,87",5413,"3,26","1,75"
"im-tram3_re","D816A#13",15705,"8,37",2261,"1,36","0,16"
"im-tram3_re","A829P#21",2029,"1,08",666,"0,40","0,37"
"im-tram3_re","A829P#22",11590,"6,18",673,"0,41","0,07"
"im-tram3_re","A829P#28",6360,"3,39",612,"0,37","0,11"
"ctrl2_re","T1parental#4",1533,"0,82",2341,"1,18","1,45"
"ctrl2_re","T1parental#6",10903,"5,81",30699,"15,53","2,67"
"ctrl2_re","T1parental#9",12735,"6,79",25723,"13,01","1,92"
"ctrl2_re","TSC2#18",7320,"3,90",3075,"1,56","0,40"
"ctrl2_re","TSC2#19",3,"0,00",116,"0,06","36,70"
"ctrl2_re","TSC2#20",14729,"7,85",27406,"13,87","1,77"
